"Date","Price"
2016-08-19,1.04999995231628
2016-08-22,1
2016-08-23,1
2016-08-24,1
2016-08-25,1
2016-08-26,1.02999997138977
2016-08-29,1.02999997138977
2016-08-30,1.02999997138977
2016-08-31,1.03999996185303
2016-09-01,1.03999996185303
2016-09-02,1.03999996185303
2016-09-06,1.03999996185303
2016-09-07,1.02999997138977
2016-09-08,1.02999997138977
2016-09-09,1.02999997138977
2016-09-12,1.02999997138977
2016-09-13,1.02999997138977
2016-09-14,1.01999998092651
2016-09-15,1.25
2016-09-16,1.2039999961853
2016-09-19,1.2039999961853
2016-09-20,1.2039999961853
2016-09-21,1.2039999961853
2016-09-22,1.2039999961853
2016-09-23,1.03999996185303
2016-09-26,1.02999997138977
2016-09-27,1.02999997138977
2016-09-28,0.970000028610229
2016-09-29,0.970000028610229
2016-09-30,0.970000028610229
2016-10-03,0.970000028610229
2016-10-04,0.970000028610229
2016-10-05,0.970000028610229
2016-10-06,0.970000028610229
2016-10-07,0.970000028610229
2016-10-10,0.970000028610229
2016-10-11,0.970000028610229
2016-10-12,0.970000028610229
2016-10-13,0.970000028610229
2016-10-14,0.970000028610229
2016-10-17,0.970000028610229
2016-10-18,0.970000028610229
2016-10-19,0.970000028610229
2016-10-20,0.970000028610229
2016-10-21,0.970000028610229
2016-10-24,0.970000028610229
2016-10-25,0.970000028610229
2016-10-26,0.954999983310699
2016-10-27,1.04999995231628
2016-10-28,1.04999995231628
2016-10-31,1.04999995231628
2016-11-01,1.04999995231628
2016-11-02,1.04999995231628
2016-11-03,1.04999995231628
2016-11-04,1.04999995231628
2016-11-07,1.04999995231628
2016-11-08,1.04999995231628
2016-11-09,1.04999995231628
2016-11-10,1.04999995231628
2016-11-11,1.04999995231628
2016-11-14,1.04999995231628
2016-11-15,1.04999995231628
2016-11-16,1.04999995231628
2016-11-17,1.04999995231628
2016-11-18,1.04999995231628
2016-11-21,1.04999995231628
2016-11-22,0.128000006079674
2016-11-23,0.128000006079674
2016-11-25,0.128000006079674
2016-11-28,0.128000006079674
2016-11-29,0.128000006079674
2016-11-30,0.128000006079674
2016-12-01,1
2016-12-02,1
2016-12-05,1
2016-12-06,1
2016-12-07,1
2016-12-08,1
2016-12-09,1
2016-12-12,1
2016-12-13,1
2016-12-14,1
2016-12-15,1
2016-12-16,1
2016-12-19,1
2016-12-20,1
2016-12-21,1
2016-12-22,1
2016-12-23,1
2016-12-27,1
2016-12-28,1
2016-12-29,1.51999998092651
2016-12-30,1.53999996185303
2017-01-03,1.51999998092651
2017-01-04,1.51999998092651
2017-01-05,1.51999998092651
2017-01-06,1.51999998092651
2017-01-09,1.51999998092651
2017-01-10,1.51999998092651
2017-01-11,1.51999998092651
2017-01-12,1.51999998092651
2017-01-13,1.51999998092651
2017-01-17,0.550000011920929
2017-01-18,0.550000011920929
2017-01-19,0.550000011920929
2017-01-20,0.550000011920929
2017-01-23,0.550000011920929
2017-01-24,0.550000011920929
2017-01-25,0.550000011920929
2017-01-26,0.550000011920929
2017-01-27,0.550000011920929
2017-01-30,0.550000011920929
2017-01-31,0.550000011920929
2017-02-01,0.550000011920929
2017-02-02,0.550000011920929
2017-02-03,0.550000011920929
2017-02-06,0.550000011920929
2017-02-07,0.550000011920929
2017-02-08,0.550000011920929
2017-02-09,0.550000011920929
2017-02-10,0.550000011920929
2017-02-13,0.550000011920929
2017-02-14,0.550000011920929
2017-02-15,0.550000011920929
2017-02-16,0.550000011920929
2017-02-17,0.550000011920929
2017-02-21,0.550000011920929
2017-02-22,0.550000011920929
2017-02-23,0.550000011920929
2017-02-24,0.550000011920929
2017-02-27,0.550000011920929
2017-02-28,0.550000011920929
2017-03-01,0.550000011920929
2017-03-02,0.550000011920929
2017-03-03,0.550000011920929
2017-03-06,0.550000011920929
2017-03-07,0.550000011920929
2017-03-08,0.550000011920929
2017-03-09,0.550000011920929
2017-03-10,0.550000011920929
2017-03-13,0.550000011920929
2017-03-14,0.550000011920929
2017-03-15,0.550000011920929
2017-03-16,0.550000011920929
2017-03-17,0.550000011920929
2017-03-20,0.550000011920929
2017-03-21,0.550000011920929
2017-03-22,0.550000011920929
2017-03-23,0.550000011920929
2017-03-24,0.550000011920929
2017-03-27,0.560000002384186
2017-03-28,0.560000002384186
2017-03-29,0.560000002384186
2017-03-30,0.560000002384186
2017-03-31,0.560000002384186
2017-04-03,0.560000002384186
2017-04-04,0.560000002384186
2017-04-05,0.560000002384186
2017-04-06,0.560000002384186
2017-04-07,0.560000002384186
2017-04-10,0.569999992847443
2017-04-11,0.569999992847443
2017-04-12,0.569999992847443
2017-04-13,0.569999992847443
2017-04-17,0.569999992847443
2017-04-18,0.569999992847443
2017-04-19,0.569999992847443
2017-04-20,0.569999992847443
2017-04-21,0.569999992847443
2017-04-24,0.569999992847443
2017-04-25,0.569999992847443
2017-04-26,0.569999992847443
2017-04-27,0.569999992847443
2017-04-28,0.569999992847443
2017-05-01,0.569999992847443
2017-05-02,0.569999992847443
2017-05-03,0.569999992847443
2017-05-04,0.569999992847443
2017-05-05,0.569999992847443
2017-05-08,0.569999992847443
2017-05-09,0.569999992847443
2017-05-10,0.569999992847443
2017-05-11,0.569999992847443
2017-05-12,0.569999992847443
2017-05-15,0.569999992847443
2017-05-16,0.569999992847443
2017-05-17,0.569999992847443
2017-05-18,0.569999992847443
2017-05-19,0.569999992847443
2017-05-22,0.569999992847443
2017-05-23,0.569999992847443
2017-05-24,0.569999992847443
2017-05-25,0.569999992847443
2017-05-26,0.569999992847443
2017-05-30,0.569999992847443
