,artist_name,track_name,track_id,popularity
0,Drake,IDGAF (feat. Yeat),2YSzYUF3jWqb9YP9VXmpjE,93
1,Drake,First Person Shooter (feat. J. Cole),7aqfrAY2p9BUSiupwk3svU,91
2,Drake,Rich Baby Daddy (feat. Sexyy Red & SZA),1yeB8MUNeLo9Ek1UEpsyz6,88
3,Drake,One Dance,1zi7xx7UVEFkmKfv06H8x0,89
4,Drake,Jimmy Cooks (feat. 21 Savage),3F5CgOj3wFlRv51JsHbxhe,89
5,Drake,Virginia Beach,3eP13S8D5m2cweMEg3ZDed,85
6,Drake,MELTDOWN (feat. Drake),67nepsnrcZkowTxMWigSbb,88
7,Drake,Slime You Out (feat. SZA),0AYt6NMyyLd0rLuvr0UkMH,81
8,Drake,Rich Flex,1bDbXMyjaUIooNwFE9wn0N,86
9,Drake,God's Plan,6DCZcSspjsKoFjzjrWoCdn,86
10,Beyonce,Crazy In Love (feat. Jay-Z),5IVuqXILoxVWvWEPm82Jxr,80
11,Beyonce,CUFF IT,1xzi1Jcr7mEi9K2RfzLOqS,84
12,Beyonce,Halo,3ERa3mEeOnrh2Mc47qM6T1,68
13,Beyonce,Single Ladies (Put a Ring on It),2ZBNclC5wm4GtiWaeh0DMx,68
14,Beyonce,BREAK MY SOUL,5pyoxDZ1PX0KxBxiRVxA4U,76
15,Beyonce,Beautiful Liar,2HWWNoWEEEECwZhAiLg7ib,74
16,Beyonce,Irreplaceable,1G7DcLzPnopdZjLkev0K4e,68
17,Beyonce,Love On Top,1z6WtY7X4HQJvzxC4UgkSf,77
18,Beyonce,If I Were a Boy,26NX1wPt1TRCH536yocd6i,68
19,Beyonce,HEATED,1w7cgGZR86yWz1pA2puVJD,76
20,Harry Styles,As It Was,4Dvkj6JhhA12EX05fT7y2e,94
21,Harry Styles,Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,88
22,Harry Styles,Late Night Talking,1qEmFfgcLObUfQm0j1W2CK,85
