long,lat,year,TimePeriod,RCP,scenario,treecanopy,Ann_Herb,Bare,Herb,Litter,Shrub,DrySoilDays_Summer_whole,Evap_Summer,ExtremeShortTermDryStress_Summer_whole,FrostDays_Winter,NonDrySWA_Summer_whole,PPT_Winter,PPT_Summer,PPT_Annual,T_Winter,T_Summer,T_Annual,Tmax_Summer,Tmin_Winter,VWC_Winter_whole,VWC_Spring_whole,VWC_Summer_whole,VWC_Fall_whole
-110.0472,37.60413,2021,NT,4.5,sc35,0,0,84,5,11,7,,,,,,4.36,9.94,4.36,1.281222,23.43946,1.281222,36.59,,,,,
-110.0472,37.60413,2021,NT,4.5,sc35,0,0,84,5,11,7,,,,,,4.36,9.94,5.18,1.281222,23.43946,12.04424,36.59,,,,,
-110.0472,37.60413,2021,NT,4.5,sc35,0,0,84,5,11,7,,,,,,4.36,9.94,12.3,1.281222,23.43946,11.79626,36.59,,,,,
-110.0472,37.60413,2021,NT,4.5,sc35,0,0,84,5,11,7,,,,,,4.36,9.94,5.18,1.281222,23.43946,11.79626,36.59,,,,,
-110.0472,37.60413,2021,NT,4.5,sc35,0,0,84,5,11,7,,,,,,4.36,9.94,12.3,1.281222,23.43946,12.04424,36.59,,,,,
-110.0472,37.60413,2021,NT,4.5,sc35,0,0,84,5,11,7,,,,,,4.36,9.94,5.18,1.281222,23.43946,1.281222,36.59,,,,,
-110.0472,37.60413,2021,NT,4.5,sc35,0,0,84,5,11,7,0.0,5.0478269768336,36.011,65.0,0.0584389172168555,,,,,,,,-20.23,0.130759319967025,0.0833415955968038,0.043248228906221,0.103612587612157
-110.0472,37.60413,2021,NT,4.5,sc36,0,0,84,5,11,7,,,,,,4.09,7.97,7.97,0.2788889,23.75033,23.75033,36.5,,,,,
-110.0472,37.60413,2021,NT,4.5,sc36,0,0,84,5,11,7,0.0,5.04887933968938,35.357,82.0,0.000892606684384,,,,,,,,-12.45,0.0578899988371873,0.0453017942339834,0.04202070283792,0.0487738963241761
-110.0472,37.60413,2021,NT,4.5,sc37,0,0,84,5,11,7,,,,,,8.28,7.77,7.13,1.660222,22.42103,22.42103,37.77,,,,,
-110.0472,37.60413,2021,NT,4.5,sc37,0,0,84,5,11,7,,,,,,8.28,7.77,7.13,1.660222,22.42103,11.61255,37.77,,,,,
-110.0472,37.60413,2021,NT,4.5,sc37,0,0,84,5,11,7,,,,,,8.28,7.77,7.77,1.660222,22.42103,22.42103,37.77,,,,,
-110.0472,37.60413,2021,NT,4.5,sc37,0,0,84,5,11,7,,,,,,8.28,7.77,7.77,1.660222,22.42103,11.61255,37.77,,,,,
-110.0472,37.60413,2021,NT,4.5,sc37,0,0,84,5,11,7,0.0,4.14635733333075,35.799,67.0,0.0151565032236409,,,,,,,,-12.01,0.133525007788437,0.0898782655773673,0.042601838916975,0.0585527385846745
-110.0472,37.60413,2021,NT,4.5,sc38,0,0,84,5,11,7,,,,,,7.58,14.51,,1.615444,24.13647,,40.83,,,,,
-110.0472,37.60413,2021,NT,4.5,sc38,0,0,84,5,11,7,0.0,5.03959740603967,39.86,65.0,0.609380493486397,,,,,,,,-10.95,0.109518543760052,0.084194150212036,0.0545356390205104,0.0997461449980096
-110.0472,37.60413,2021,NT,4.5,sc39,0,0,84,5,11,7,,,,,,7.59,0.43,7.63,1.206556,24.29799,14.35637,38.51,,,,,
-110.0472,37.60413,2021,NT,4.5,sc39,0,0,84,5,11,7,0.0,0.454546643604904,37.699,75.0,1.60707253245758e-08,,,,,,,,-8.49,0.119485627427886,0.0857341229353642,0.0406177027232644,0.0507672044802024
-110.0472,37.60413,2021,NT,4.5,sc40,0,0,84,5,11,7,,,,,,4.13,10.31,,-1.330333,23.3262,,35.81,,,,,
-110.0472,37.60413,2021,NT,4.5,sc40,0,0,84,5,11,7,0.0,4.66234082978321,34.819,84.0,0.164651881580655,,,,,,,,-16.4,0.118494429025483,0.0800660012706528,0.045518540256774,0.0781354300176094
-110.0472,37.60413,2021,NT,4.5,sc41,0,0,84,5,11,7,,,,,,9.16,10.37,6.73,0.4598889,24.01207,11.34005,37.68,,,,,
-110.0472,37.60413,2021,NT,4.5,sc41,0,0,84,5,11,7,,,,,,9.16,10.37,6.37,0.4598889,24.01207,11.34005,37.68,,,,,
-110.0472,37.60413,2021,NT,4.5,sc41,0,0,84,5,11,7,,,,,,9.16,10.37,6.37,0.4598889,24.01207,12.68093,37.68,,,,,
-110.0472,37.60413,2021,NT,4.5,sc41,0,0,84,5,11,7,,,,,,9.16,10.37,6.73,0.4598889,24.01207,12.68093,37.68,,,,,
-110.0472,37.60413,2021,NT,4.5,sc41,0,0,84,5,11,7,0.0,4.98639956879297,36.085,75.0,0.21683443833041,,,,,,,,-13.72,0.132495770462477,0.0826704970987927,0.0463467558257451,0.0488835646436364
-110.0472,37.60413,2021,NT,8.5,sc42,0,0,84,5,11,7,,,,,,8.32,4.53,,0.8491111,23.93522,,37.29,,,,,
-110.0472,37.60413,2021,NT,8.5,sc42,0,0,84,5,11,7,0.0,2.48524901885679,36.053,79.0,0.0088163528468915,,,,,,,,-16.48,0.124435111901744,0.0876692728899464,0.0418310929539054,0.0639068592985003
-110.0472,37.60413,2021,NT,8.5,sc43,0,0,84,5,11,7,,,,,,11.13,1.52,,0.1072778,23.80016,,38.23,,,,,
