artist_type,musical_characteristic,average_value
KPOP,instrumentalness,0.0163938755064194
KPOP,valence,0.5388002853067048
KPOP,danceability,0.6190827389443652
KPOP,energy,0.7814279600570614
KPOP,loudness,-4.8575492154065625
KPOP,speechiness,0.12169928673323824
KPOP,acousticness,0.1542378572039943
KPOP,liveness,0.28640128388017116
KPOP,tempo,119.49375320970043
Western,instrumentalness,0.012050726806402439
Western,valence,0.42830365853658536
Western,danceability,0.6145396341463415
Western,energy,0.6135135289634146
Western,loudness,-7.219692073170732
Western,speechiness,0.1202329268292683
Western,acousticness,0.2522715307164634
Western,liveness,0.20763353658536585
Western,tempo,120.97660060975609
